county,town,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Franklin Lakes,Jan,1,5,5,1999900,1975000,-10.0,-199900,-10.46,-255780,100.0,109,yes
BERGEN,Franklin Lakes,Feb,2,5,5,1999900,2133000,0.0,0,-1.3,-60180,60.0,101,yes
BERGEN,Franklin Lakes,Mar,3,4,4,1684500,1677500,-0.56,-10000,-0.94,-13500,75.0,66,yes
BERGEN,Franklin Lakes,Apr,4,12,12,1704000,1900000,1.33,13050,3.72,48425,41.7,67,
BERGEN,Franklin Lakes,May,5,1,1,1595000,1725000,8.15,130000,8.15,130000,0.0,88,yes
BERGEN,Franklin Lakes,Jun,6,1,1,1899000,1950000,2.69,51000,2.69,51000,0.0,64,yes
BERGEN,Franklin Lakes,Jul,7,5,5,889999,950000,4.49,40001,7.3,15400,40.0,91,yes
BERGEN,Franklin Lakes,Aug,8,4,4,1724500,1702500,0.02,-22000,7.53,12750,50.0,130,yes
BERGEN,Franklin Lakes,Sep,9,3,3,1899000,2100777,10.63,201777,10.55,205600,33.3,64,yes
BERGEN,Franklin Lakes,Oct,10,3,3,1945000,1910000,-3.4,-95000,-5.9,-110000,100.0,190,yes
BERGEN,Franklin Lakes,Nov,11,2,2,1249000,1308000,7.39,59000,7.39,59000,50.0,100,yes
BERGEN,Franklin Lakes,Dec,12,2,2,1107000,1190000,6.23,83000,6.23,83000,50.0,103,yes
BERGEN,Glen Rock,Jan,1,5,5,899000,951000,11.23,89700,9.12,78960,0.0,55,yes
BERGEN,Glen Rock,Feb,2,8,8,1314000,1405000,11.66,110500,11.61,95000,12.5,54,yes
BERGEN,Glen Rock,Mar,3,7,7,945000,1146520,16.22,140001,17.07,166574,0.0,59,yes
BERGEN,Glen Rock,Apr,4,7,7,899000,1250000,12.73,105000,19.49,184286,0.0,80,yes
BERGEN,Glen Rock,May,5,10,10,932000,1078000,16.37,141500,16.27,156780,0.0,56,
BERGEN,Glen Rock,Jun,6,6,6,874000,920000,5.29,46000,7.81,88000,33.3,58,yes
BERGEN,Glen Rock,Jul,7,6,6,1199500,1335126,5.1,40500,5.03,47042,33.3,69,yes
BERGEN,Glen Rock,Aug,8,3,3,1290000,1240000,-1.54,-25000,8.08,46667,66.7,63,yes
BERGEN,Glen Rock,Sep,9,1,1,899000,1052000,17.02,153000,17.02,153000,0.0,56,yes
BERGEN,Glen Rock,Oct,10,5,5,889000,981000,5.4,81000,11.2,107600,0.0,67,yes
BERGEN,Glen Rock,Nov,11,4,4,970000,1110000,11.33,113000,12.68,120500,0.0,48,yes
BERGEN,Glen Rock,Dec,12,2,2,964500,965000,-0.83,500,-0.83,500,50.0,108,yes
ESSEX,Caldwell,Jan,1,13,13,780000,815000,0.0,0,4.58,28092,61.5,61,
ESSEX,Caldwell,Feb,2,12,12,704950,790500,9.45,66050,8.96,78567,8.3,46,
ESSEX,Caldwell,Mar,3,25,25,695000,750000,7.91,45100,9.3,83968,24.0,66,
ESSEX,Caldwell,Apr,4,23,23,725000,836000,7.56,68000,8.08,62283,26.1,57,
ESSEX,Caldwell,May,5,27,27,750000,865000,9.36,62000,10.52,74107,11.1,55,
ESSEX,Caldwell,Jun,6,26,26,744500,855500,6.67,43000,8.3,61554,19.2,54,
ESSEX,Caldwell,Jul,7,10,10,784500,819564,0.98,3000,6.11,37313,40.0,66,
ESSEX,Caldwell,Aug,8,8,8,924500,930500,12.03,108500,11.86,110525,12.5,66,yes
ESSEX,Caldwell,Sep,9,10,10,656912,718500,5.69,28088,8.65,46668,30.0,58,
ESSEX,Caldwell,Oct,10,21,21,799000,918000,10.97,66000,8.84,60443,23.8,72,
ESSEX,Caldwell,Nov,11,13,13,749000,750000,0.75,8000,4.27,52408,38.5,88,
ESSEX,Caldwell,Dec,12,16,16,737500,755000,3.04,20050,4.41,32326,25.0,77,
ESSEX,Cedar Grove,Jan,1,8,8,1047500,1090000,5.96,68750,7.09,72450,12.5,56,yes
ESSEX,Cedar Grove,Feb,2,12,12,749000,770000,3.91,25500,5.98,49425,16.7,64,
ESSEX,Cedar Grove,Mar,3,13,13,749000,762000,12.78,90100,13.05,101869,7.7,59,
ESSEX,Cedar Grove,Apr,4,17,17,749900,753000,4.72,33100,6.66,47647,23.5,63,
ESSEX,Cedar Grove,May,5,12,12,637000,762500,12.95,93112,13.04,88302,0.0,52,
ESSEX,Cedar Grove,Jun,6,7,7,675000,727000,10.35,76000,12.58,87116,14.3,55,yes
ESSEX,Cedar Grove,Jul,7,6,6,687000,784564,10.07,64000,8.91,56021,16.7,45,yes
ESSEX,Cedar Grove,Aug,8,5,5,799999,799090,0.88,11000,4.6,27418,40.0,57,yes
ESSEX,Cedar Grove,Sep,9,9,9,699000,800000,10.92,90000,6.72,-16544,22.2,66,yes
ESSEX,Cedar Grove,Oct,10,3,3,629900,643000,3.1,18100,2.82,20400,0.0,39,yes
ESSEX,Cedar Grove,Nov,11,7,7,649900,650000,8.51,60000,10.78,69729,14.3,70,yes
ESSEX,Cedar Grove,Dec,12,9,9,729000,815000,8.89,65100,6.05,45578,22.2,68,yes
ESSEX,Essex Fells,Jan,1,1,1,1399000,1450000,3.65,51000,3.65,51000,0.0,44,yes
ESSEX,Essex Fells,Feb,2,2,2,1449000,1525000,5.12,76000,5.12,76000,0.0,52,yes
ESSEX,Essex Fells,Mar,3,4,4,1575000,1527500,-2.8,-47500,-0.51,-56225,75.0,75,yes
ESSEX,Essex Fells,Apr,4,1,1,2000000,2100000,5.0,100000,5.0,100000,0.0,250,yes
ESSEX,Essex Fells,May,5,4,4,1425000,1532500,-1.84,-25000,1.69,-23500,75.0,61,yes
ESSEX,Essex Fells,Jun,6,2,2,1599500,1454500,-9.03,-145000,-9.03,-145000,100.0,84,yes
ESSEX,Essex Fells,Jul,7,2,2,2632500,2587500,-1.5,-45000,-1.5,-45000,100.0,78,yes
ESSEX,Essex Fells,Aug,8,3,3,1425000,1400000,0.07,1000,3.46,15667,33.3,64,yes
ESSEX,Essex Fells,Sep,9,1,1,2499000,2600000,4.04,101000,4.04,101000,0.0,61,yes
ESSEX,Essex Fells,Oct,10,2,2,1359500,1335000,3.22,-24500,3.22,-24500,50.0,86,yes
ESSEX,Essex Fells,Dec,12,1,1,1725000,1630000,-5.51,-95000,-5.51,-95000,100.0,161,yes
ESSEX,Glen Ridge,Jan,1,10,9,619000,808000,18.75,189000,17.58,240021,33.3,49,yes
ESSEX,Glen Ridge,Feb,2,14,12,837000,1054104,29.95,246000,26.82,257609,0.0,53,
ESSEX,Glen Ridge,Mar,3,13,10,1224000,1457035,27.27,236250,25.67,266085,0.0,62,
ESSEX,Glen Ridge,Apr,4,18,15,999000,1225000,22.07,161000,17.07,148273,20.0,75,
ESSEX,Glen Ridge,May,5,29,24,1049500,1272500,18.75,201000,20.0,217458,8.3,56,
ESSEX,Glen Ridge,Jun,6,7,6,974000,1232500,29.89,305550,27.71,255100,0.0,46,yes
ESSEX,Glen Ridge,Jul,7,9,9,699000,760000,8.96,68000,16.92,123232,11.1,64,yes
ESSEX,Glen Ridge,Aug,8,3,3,650000,750000,2.56,5000,3.9,18367,33.3,89,yes
ESSEX,Glen Ridge,Sep,9,4,4,1139000,1556500,32.03,344250,29.65,337000,0.0,44,yes
ESSEX,Glen Ridge,Oct,10,10,7,789000,905000,15.49,250000,15.41,234714,14.3,58,yes
ESSEX,Glen Ridge,Nov,11,5,4,1572500,1701500,25.48,344500,16.71,265000,25.0,83,yes
ESSEX,Glen Ridge,Dec,12,3,3,899000,1150000,27.92,251000,25.48,263000,0.0,111,yes
ESSEX,Livingston,Jan,1,19,19,1500000,1625000,0.0,0,1.13,8163,52.6,75,
ESSEX,Livingston,Feb,2,18,18,1024950,1202500,5.25,64000,9.45,105450,27.8,76,
ESSEX,Livingston,Mar,3,33,33,1149000,1251000,5.16,55000,7.81,71470,33.3,63,
ESSEX,Livingston,Apr,4,40,40,967000,1092500,4.43,26000,6.7,50101,35.0,60,
